image,mask,dataset,mode
./data/ISBI2017/Slide_162438/162438_25.png,./data/ISBI2017/Mask_162438/162438_25.png,isbi,none
./data/ISBI2017/Slide_162438/162438_58.png,./data/ISBI2017/Mask_162438/162438_58.png,isbi,none
./data/ISBI2017/Slide_162438/162438_63.png,./data/ISBI2017/Mask_162438/162438_63.png,isbi,none
./data/ISBI2017/Slide_572123/572123_19.png,./data/ISBI2017/Mask_572123/572123_19.png,isbi,none
./data/ISBI2017/Slide_572123/572123_33.png,./data/ISBI2017/Mask_572123/572123_33.png,isbi,none
./data/ISBI2017/Slide_572123/572123_34.png,./data/ISBI2017/Mask_572123/572123_34.png,isbi,none
./data/ISBI2017/Slide_572123/572123_62.png,./data/ISBI2017/Mask_572123/572123_62.png,isbi,none
./data/ISBI2017/Slide_572123/572123_15.png,./data/ISBI2017/Mask_572123/572123_15.png,isbi,none
./data/ISBI2017/Slide_581910/581910_8.png,./data/ISBI2017/Mask_581910/581910_8.png,isbi,none
./data/ISBI2017/Slide_581910/581910_9.png,./data/ISBI2017/Mask_581910/581910_9.png,isbi,none
./data/ISBI2017/Slide_581910/581910_7.png,./data/ISBI2017/Mask_581910/581910_7.png,isbi,none
./data/ISBI2017/Slide_581910/581910_6.png,./data/ISBI2017/Mask_581910/581910_6.png,isbi,none
./data/ISBI2017/Slide_581910/581910_4.png,./data/ISBI2017/Mask_581910/581910_4.png,isbi,none
./data/ISBI2017/Slide_581910/581910_5.png,./data/ISBI2017/Mask_581910/581910_5.png,isbi,none
./data/ISBI2017/Slide_581910/581910_3.png,./data/ISBI2017/Mask_581910/581910_3.png,isbi,none
./data/ISBI2017/Slide_588626/588626_2.png,./data/ISBI2017/Mask_588626/588626_2.png,isbi,none
./data/ISBI2017/Slide_588626/588626_3.png,./data/ISBI2017/Mask_588626/588626_3.png,isbi,none
./data/ISBI2017/Slide_588626/588626_1.png,./data/ISBI2017/Mask_588626/588626_1.png,isbi,none
./data/ISBI2017/Slide_588626/588626_0.png,./data/ISBI2017/Mask_588626/588626_0.png,isbi,none
./data/ISBI2017/Slide_141549/141549_367.png,./data/ISBI2017/Mask_141549/141549_367.png,isbi,none
./data/ISBI2017/Slide_141549/141549_83.png,./data/ISBI2017/Mask_141549/141549_83.png,isbi,none
./data/ISBI2017/Slide_141549/141549_283.png,./data/ISBI2017/Mask_141549/141549_283.png,isbi,none
./data/ISBI2017/Slide_498959/498959_13.png,./data/ISBI2017/Mask_498959/498959_13.png,isbi,none
./data/ISBI2017/Slide_498959/498959_07.png,./data/ISBI2017/Mask_498959/498959_07.png,isbi,none
./data/ISBI2017/Slide_498959/498959_11.png,./data/ISBI2017/Mask_498959/498959_11.png,isbi,none
./data/ISBI2017/Slide_498959/498959_04.png,./data/ISBI2017/Mask_498959/498959_04.png,isbi,none
./data/ISBI2017/Slide_498959/498959_00.png,./data/ISBI2017/Mask_498959/498959_00.png,isbi,none
./data/ISBI2017/Slide_498959/498959_01.png,./data/ISBI2017/Mask_498959/498959_01.png,isbi,none
./data/ISBI2017/Slide_498959/498959_03.png,./data/ISBI2017/Mask_498959/498959_03.png,isbi,none
./data/ISBI2017/Slide_498959/498959_02.png,./data/ISBI2017/Mask_498959/498959_02.png,isbi,none
./data/ISBI2017/Slide_160120/160120_152.png,./data/ISBI2017/Mask_160120/160120_152.png,isbi,none
./data/ISBI2017/Slide_160120/160120_160.png,./data/ISBI2017/Mask_160120/160120_160.png,isbi,none
./data/ISBI2017/Slide_160120/160120_16.png,./data/ISBI2017/Mask_160120/160120_16.png,isbi,none
./data/MoNuSeg Training Data/Tissue images/TCGA-G9-6348-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-G9-6348-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-E2-A1B5-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-E2-A1B5-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-CH-5767-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-CH-5767-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-AR-A1AS-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-AR-A1AS-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-G9-6336-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-G9-6336-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-DK-A2I6-01A-01-TS1.tif,./data/MoNuSeg Training Data/Masks/TCGA-DK-A2I6-01A-01-TS1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-HE-7130-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-HE-7130-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-A7-A13F-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-A7-A13F-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-G9-6356-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-G9-6356-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-HE-7128-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-HE-7128-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-G2-A2EK-01A-02-TSB.tif,./data/MoNuSeg Training Data/Masks/TCGA-G2-A2EK-01A-02-TSB_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-NH-A8F7-01A-01-TS1.tif,./data/MoNuSeg Training Data/Masks/TCGA-NH-A8F7-01A-01-TS1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-AY-A8YK-01A-01-TS1.tif,./data/MoNuSeg Training Data/Masks/TCGA-AY-A8YK-01A-01-TS1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-38-6178-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-38-6178-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-A7-A13E-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-A7-A13E-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-HE-7129-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-HE-7129-01Z-00-DX1_mask.png,monuseg,none
./data/MoNuSeg Training Data/Tissue images/TCGA-G9-6363-01Z-00-DX1.tif,./data/MoNuSeg Training Data/Masks/TCGA-G9-6363-01Z-00-DX1_mask.png,monuseg,none
